id,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,genres,production_companies,vote_average,release_year
639,18000000,103215094,Birdman,Michael Keaton|Zach Galifianakis|Edward Norton|Emma Stone|Naomi Watts,,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,or (The Unexpected Virtue of Ignorance),times square|superhero|long take|new york city|play,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",Drama|Comedy,Worldview Entertainment|New Regency Pictures|TSG Entertainment|Le Grisbi Productions|M Productions,7.3,2014
640,61000000,369330363,Gone Girl,Ben Affleck|Rosamund Pike|Carrie Coon|Neil Patrick Harris|Tyler Perry,http://www.gonegirlmovie.com/,David Fincher,You don't know what you've got 'til it's...,falsely accused person|based on novel|marriage crisis|disappearance|cheating husband,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Mystery|Thriller|Drama,Twentieth Century Fox Film Corporation|Regency Enterprises|New Regency Pictures|Pacific Standard|TSG Entertainment,7.9,2014
641,68000000,211817906,Fury,Brad Pitt|Shia LaBeouf|Logan Lerman|Michael PeÃ±a|Jon Bernthal,,David Ayer,War never ends quietly.,world war ii|nazis|war|nazi germany|panzer,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",War|Drama|Action,Columbia Pictures|QED International|Crave Films|LStar Capital|Huayi Brothers Media,7.4,2014
642,127000000,349424282,Night at the Museum: Secret of the Tomb,Ben Stiller|Rami Malek|Rebel Wilson|Robin Williams|Owen Wilson,,Shawn Levy,One Final Night to Save the Day.,night watchman|museum|natural history|history|smithsonian,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley (Ben Stiller) spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Adventure|Comedy|Fantasy|Family,Twentieth Century Fox Film Corporation|1492 Pictures|21 Laps Entertainment|Moving Picture Company (MPC)|TSG Entertainment,6.1,2014
643,85000000,288747895,Divergent,Shailene Woodley|Theo James|Kate Winslet|Miles Teller|Ray Stevenson,http://www.thedivergentseries.movie/#divergent,Neil Burger,What makes you different makes you dangerous.,based on novel|dystopia|youth|dystopic future|caste system,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Action|Science Fiction|Thriller,Summit Entertainment|Red Wagon Entertainment,6.9,2014
644,250000000,746000000,X-Men: Days of Future Past,Hugh Jackman|James McAvoy|Patrick Stewart|Michael Fassbender|Ian McKellen,http://www.x-menmovies.com/,Bryan Singer,"To save the future, they must alter the past",1970s|mutant|time travel|marvel comic|based on comic book,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past â€“ to save our future.,Action|Adventure|Fantasy|Science Fiction,Twentieth Century Fox Film Corporation|Donners' Company|Marvel Entertainment|Bad Hat Harry Productions|TSG Entertainment,7.6,2014
645,40000000,463360063,Lucy,Scarlett Johansson|Morgan Freeman|Choi Min-sik|Amr Waked|Julian Rhind-Tutt,http://lucymovie.com/,Luc Besson,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,artificial intelligence|intelligence|drug mule|futuristic|drug,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Action|Science Fiction,Universal Pictures|TF1 Films Production|Canal+|EuropaCorp|CinÃ©+,6.3,2014
646,125000000,477200000,Teenage Mutant Ninja Turtles,Megan Fox|Will Arnett|William Fichtner|Alan Ritchson|Noel Fisher,http://www.teenagemutantninjaturtlesmovie.com,Jonathan Liebesman,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,martial arts|terrorist|subway|hero|mutation,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,Science Fiction|Action|Adventure|Fantasy|Comedy,Paramount Pictures|Nickelodeon Movies|Platinum Dunes,5.8,2014
647,40000000,126069509,Sex Tape,Cameron Diaz|Jason Segel|Rob Corddry|Ellie Kemper|Rob Lowe,,Jake Kasdan,A movie about a movie they don't want you to see.,marriage|internet|relationship|family|sex tape,"When Jay and Annie first got together, their romantic connection was intense â€“ but ten years and two kids later, the flame of their love needs a spark.  To kick things up a notch, they decide â€“ why not? â€“ to make a video of themselves trying out every position in The Joy of Sex in one marathon three-hour session.  It seems like a great idea â€“ until they discover that their most private video is no longer private.  With their reputations on the line, they know theyâ€™re just one click away from being laid bare to the world... but as their race to reclaim their video leads to a night they'll never forget, they'll find that their video will expose even more than they bargained for.",Comedy,Escape Artists|Media Rights Capital|Sony Pictures Entertainment (SPE)|LStar Capital,5.3,2014
648,8500000,38697217,Nightcrawler,Jake Gyllenhaal|Rene Russo|Riz Ahmed|Bill Paxton|Kevin Rahm,http://nightcrawlerfilm.com/,Dan Gilroy,The city shines brightest at night,journalism|underground|tv station|sociopath|home invasion,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",Crime|Drama|Thriller,Bold Films|Sierra / Affinity,7.6,2014
649,210000000,245500000,Transformers: Age of Extinction,Mark Wahlberg|Stanley Tucci|Nicola Peltz|Jack Reynor|Li Bingbing,http://www.transformersmovie.com,Michael Bay,This is not war. It's extinction.,sequel|alien|transformers|giant robot|robot,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Science Fiction|Action|Adventure,Paramount Pictures|Amblin Entertainment|Di Bonaventura Pictures|Platinum Dunes|Hasbro,5.9,2014
650,30000000,174600318,The Grand Budapest Hotel,Ralph Fiennes|Tony Revolori|F. Murray Abraham|Mathieu Amalric|Adrien Brody,,Wes Anderson,A perfect holiday without leaving home.,hotel|painting|wartime|gunfight|theft,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protÃ©gÃ©. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",Comedy|Drama,Fox Searchlight Pictures|Scott Rudin Productions|Studio Babelsberg|Indian Paintbrush|TSG Entertainment,7.9,2014
651,3300000,13993093,Whiplash,Miles Teller|J.K. Simmons|Melissa Benoist|Austin Stowell|Jayson Blair,http://sonyclassics.com/whiplash/,Damien Chazelle,The road to greatness can take you to the edge.,jazz|obsession|conservatory|music teacher|new york city,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Drama|Music,Bold Films|Blumhouse Productions|Right of Way Films,8.2,2014
